message	predicted
Plz give the shedule of train for rourkela to sambalpur	travel
Sir kurta pazama	shopping
Hi. I'd like to buy a pair of grey boots. Could you give me some suggestions?	shopping
Train from kalyan to chinchwad	travel
Want to go from Dhenkanal to Bangalore on 7th October and from there to go to Shirdi and back to Dhenkanal, Odisha on 12th. Plan a trip both by plane and train and let me know.	travel
Sbi??	travel
Union banks atm	nearby
mandor express me maalgaadi wala coach h kya ?	travel
Metro Station?	travel
branded bluetooth headphones under 500	shopping
I need a travel package to Kashmir, with itinerary and price.	travel
Find me buses from bhopal to indore on 13 sep 2016 it should be a non ac bus	travel
Need to book a car for one day in Mumbai	travel
Looking for apple store	shopping
kisi aur train me dekhe	travel
Splender pro price ?	shopping
Shopping	shopping
I got a message to recharge for 195 and get 1gb net but now when m trying to do its not happening	reminders
Kota to niimch train	travel
Shower gel	travel
Vanisha help to find HDFC ATM nearby my location .	nearby
Tell me the details of rameshwaram express who is departure from jaipur to chennai...	travel
When will thodari release?	movies
Show me the flight tickets to Andaman during 19th december,2016	travel
Where is nearby pizza hut??	food
Rishikesh bike trip	travel
Ok book gold colour	shopping
Information abt hotels	travel
I want to stay in lodge	travel
I want to buy  online book	travel
1 ac train hai	travel
Can u contact the Dealer of royal Enfield for can changing the colour of classic 350	shopping
You try in below train	travel
KTK Bank	nearby
Bank of Maharashtra bank atm	nearby
Cancel the call reminder to neena jee	reminders
Can u tell me the width of this product	shopping
yes. got my pizza	food
Near by gym	nearby
Tell Tell me seats available in VRL today nite VRL bus karatagi to bangalore today nite ad coast	travel
I want to buy Red Tape Loafers this Sunday, any suggestions	shopping
Could you filter these by brand. Jack and jones	shopping
Is there an availability in pushpak train for 22 Dec 2 tier ac	travel
Threre no option in my settings to change reminder call to notification	reminders
I need the live status of the train puneet	travel
Why didn't I get my reminder to wake up today	reminders
Well I need to travel from Siwan to Delhi..if you could assist me with the same	travel
Movie review of dharmadurai	movies
Free recharge coupons?	recharge
Have you remind Rigveda restaurant about my order	food
I'm using Vodafone prepaid	recharge
Plz find me tickets from kochi to delhi on 11th October and back to kochi on 13th	travel
Is there barbecue nation outlet near phoenix market city mall at kurla	food
Yeah I want to travel by flight from Chennai to Kolkata on 14 th October	travel
Please change the time	travel
Hey vaidehi can u plz check hrtc buses availablr from delhi isbt kashmiri gate to hamirpur	travel
Bus ticket to karnal	travel
Seat is available on 19/sept 2016 12619-train no	travel
I wnt to buy mobile	shopping
Hi hello I want fish land restaurant in Ameerpet route	travel
Non veg restaurant	food
Hey, pls book two tickets in the 9.30pm bus	travel
